Date,Open,High,Low,Close,Adj Close,Volume
34625,3223.699951,3223.699951,3182.800049,3189.399902,3189.396729,0
34626,3189.399902,3193.000000,3141.199951,3188.199951,3188.196777,0
34627,3188.199951,3231.300049,3172.199951,3184.199951,3184.196777,0
34628,3167.100098,3167.100098,3138.699951,3149.199951,3149.196777,0
34631,3149.199951,3168.699951,3148.300049,3155.000000,3154.996826,0
34632,3124.199951,3124.199951,3082.399902,3108.000000,3107.996826,0
34633,3108.000000,3125.899902,3093.800049,3101.399902,3101.396729,0
34634,3101.399902,3131.100098,3088.800049,3131.100098,3131.096924,0
34635,3131.100098,3188.000000,3129.800049,3186.600098,3186.596924,0
34638,3186.600098,3220.699951,3186.199951,3194.500000,3194.496826,0
34639,0,0,0,0,0,0
34640,3169.199951,3169.199951,3142.300049,3155.699951,3155.696777,0
34641,3155.699951,3185.500000,3151.699951,3185.500000,3185.496826,0
34642,3185.500000,3213.300049,3178.899902,3202.899902,3202.896729,0
34645,3177.500000,3177.500000,3155.899902,3172.699951,3172.696777,0
34646,3169.800049,3169.800049,3157.199951,3166.100098,3166.096924,0
34647,0,0,0,0,0,0
34648,3178.800049,3237.500000,3178.800049,3232.300049,3232.296875,0
34649,3232.300049,3233.600098,3208.899902,3229.300049,3229.296875,0
34652,3235.100098,3260.699951,3235.100098,3259.500000,3259.496582,0
34653,3280.399902,3318.800049,3280.399902,3306.199951,3306.196533,0
34654,3306.199951,3341.500000,3269.300049,3278.199951,3278.196533,0
34655,3278.199951,3292.199951,3262.500000,3272.500000,3272.496582,0
34656,3272.500000,3299.800049,3254.699951,3286.699951,3286.696533,0
34659,3300.699951,3321.699951,3300.699951,3308.800049,3308.796631,0
34660,3288.500000,3288.500000,3269.699951,3286.300049,3286.296631,0
34661,3255.500000,3255.500000,3230.600098,3253.500000,3253.496582,0
34662,3261.399902,3283.800049,3261.399902,3276.000000,3275.996582,0
34663,3276.000000,3296.399902,3258.899902,3296.199951,3296.196533,0
34666,3296.199951,3319.899902,3287.699951,3298.399902,3298.396484,0
34667,3285.000000,3285.000000,3255.600098,3262.500000,3262.496582,0
34668,3262.500000,3292.199951,3259.600098,3287.100098,3287.096680,0
34669,3281.199951,3281.199951,3263.000000,3272.699951,3272.696533,0
34670,3272.699951,3297.500000,3263.399902,3290.600098,3290.596680,0
34673,3311.800049,3336.699951,3311.800049,3323.300049,3323.296631,0
34674,0,0,0,0,0,0
34675,3323.300049,3336.800049,3300.699951,3318.899902,3318.896484,0
34676,0,0,0,0,0,0
34677,3302.199951,3302.199951,3281.800049,3293.899902,3293.896484,0
34680,3293.899902,3294.100098,3264.100098,3271.899902,3271.896484,0
34681,3271.899902,3280.800049,3249.100098,3266.699951,3266.696533,0
34682,3266.699951,3284.300049,3257.300049,3261.800049,3261.796631,0
34683,3261.699951,3261.699951,3232.800049,3238.100098,3238.096924,0
34684,3238.100098,3262.800049,3232.899902,3250.500000,3250.496826,0
34687,3250.500000,3264.600098,3225.800049,3230.300049,3230.296875,0
34688,3211.899902,3211.899902,3182.600098,3193.500000,3193.496826,0
34689,3185.000000,3185.000000,3166.000000,3173.500000,3173.496826,0
34690,3173.500000,3187.800049,3162.000000,3168.699951,3168.696777,0
34691,3170.399902,3190.100098,3170.399902,3189.300049,3189.296875,0
34694,0,0,0,0,0,0
34695,3180.100098,3180.100098,3059.699951,3088.100098,3088.096924,0
34696,3088.100098,3091.399902,3021.500000,3029.500000,3029.496826,0
34697,3029.500000,3054.800049,3017.699951,3036.100098,3036.096924,0
34698,3058.899902,3103.800049,3058.899902,3087.699951,3087.696777,0
34701,3087.699951,3109.000000,3077.899902,3092.199951,3092.196777,0
34702,3092.600098,3115.100098,3092.600098,3110.399902,3110.396729,0
34703,3110.399902,3121.300049,3094.500000,3107.199951,3107.196777,0
